normalized,raw,definition_fr
PHILARETUS,Philarétus,"Prénom masculin d’usage historique, équivalent français de l’anglais Philaretus."
PHILIPPON,Philippon,Patronyme français.
PHILIPPOT,Philippot,Patronyme français.
PHUONG,Phuong,Patronyme d’origine vietnamienne.
PICCARD,Piccard,Patronyme français.
PIETRALUNGA,Pietralunga,Patronyme d’origine italienne.
PIGASSE,Pigasse,Patronyme d’origine occitane.
PIKETTY,Piketty,"Patronyme d’origine italienne, porté notamment par l’économiste Thomas Piketty."
PIQUEMAL,Piquemal,Patronyme d’origine occitane.
POELAERT,Poelaert,Patronyme d’origine néerlandaise.
POENARU,Poénaru,Patronyme d’origine roumaine.
POLYCARPE,Polycarpe,"Prénom masculin d’origine grecque ancienne, équivalent français de l’anglais Polycarp ou Polycarpus."
POLYDORE,Polydore,"Prénom masculin d’usage historique et d’origine grecque ancienne, équivalent français de l’anglais Polydorus."
PONIATOWSKI,Poniatowski,Patronyme d’origine polonaise.
POPESCO,Popesco,Patronyme d’origine roumaine.
POPESCU,Popescu,Patronyme d’origine roumaine.
POUSTILNIK,Poustilnik,Patronyme d’origine russe.
PRASCOVIE,Prascovie,"Prénom féminin d’origine russe, équivalent français de l’anglais Praskovya."
PRIEST,Priest,"Prénom masculin d’origine franco-provençale, d’usage historique."
PRIMEL,Primel,Prénom masculin d’origine bretonne.
PTOLEMEE,Ptolémée,"Prénom masculin d’usage historique, équivalent français de l’anglais Ptolemy."
PULVAR,Pulvar,Patronyme français.
QUENTIN,Quentin,"Prénom masculin d’origine latine, d’usage récent et fréquent."
QUILLEVERE,Quillévéré,Patronyme d’origine bretonne.
QUYEN,Quyen,Patronyme d’origine vietnamienne.
RADEGONDE,Radegonde,Prénom féminin issu des langues germaniques.
RADULESCU,Radulescu,Patronyme d’origine roumaine.
RAHIM,Rahim,Patronyme d’origine arabe.
RAIMOND,Raimond,"Prénom masculin issu de l’ancien occitan, d’usage historique, équivalent français de l’anglais Raymond."
RAKOTOHARIVELO,Rakotoharivelo,Patronyme d’origine malgache.
RAMOND,Ramond,Patronyme d’origine occitane.
RAOUL,Raoul,"Prénom masculin, équivalent français de l’anglais Ralph."
RAOUST,Raoust,Patronyme d’origine occitane.
RASCOL,Rascol,Patronyme d’origine occitane.
RASPIENGEAS,Raspiengeas,Patronyme d’origine occitane.
RAUFAST,Raufast,Patronyme d’origine occitane.
RAZAFIMAHEFA,Razafimahefa,Patronyme français d’origine malgache.
REGINE,Régine,"Prénom féminin, équivalent français de l’anglais Regina."
REICHENBACH,Reichenbach,Patronyme français d’origine alémanique.
REIKO,Reiko,Prénom féminin d’origine japonaise.
RENART,Renart,"Prénom masculin, équivalent français de l’anglais Reynard."
REUTEMANN,Reutemann,Patronyme d’origine allemande.
REYNAUD,Reynaud,Patronyme d’origine occitane.
RICHARDOT,Richardot,Patronyme français.
RICHTER,Richter,Patronyme d’origine allemande.
RICOSINDE,Ricosinde,"Prénom masculin d'origine gotique, attesté dans l'usage ancien."
RIMBAUD,Rimbaud,"Patronyme issu de l'ancien français, porté notamment par le poète Arthur Rimbaud."
RINALDI,Rinaldi,"Patronyme d'origine italienne, dérivé du prénom Rinaldo, équivalent de Renaud."
RIOC,Rioc,Prénom masculin d'origine bretonne.
RIZZI,Rizzi,Patronyme d'origine italienne.
RIZZUTO,Rizzuto,"Patronyme d'origine italienne, à l'origine surnom d'une personne aux cheveux frisés."
ROBESPIERRE,Robespierre,"Patronyme français, porté par le révolutionnaire Maximilien de Robespierre."
ROCH,Roch,"Prénom masculin correspondant à l'italien Rocco ; nom de saint Roch, invoqué contre la peste."
ROCHAIN,Rochain,Patronyme français.
RODOLPHE,Rodolphe,"Prénom masculin d'origine germanique, équivalent de l'allemand Rudolf et de l'anglais Rudolph."
ROLAND,Roland,"Prénom masculin d'origine germanique, porté par le héros de la Chanson de Roland."
ROMEO,Roméo,"Prénom masculin, forme française de l'italien Romeo, rendu célèbre par la tragédie de Shakespeare."
RONAN,Ronan,"Prénom masculin d'origine irlandaise, diffusé en Bretagne par le culte d'un saint."
ROSELINE,Roseline,"Prénom féminin correspondant à l'anglais Rosaline ; nom de sainte Roseline, religieuse provençale."
ROSELYNE,Roselyne,"Prénom féminin, variante de Roseline, équivalent de l'anglais Rosaline."
ROSEN,Rosen,"Patronyme d'origine allemande, tiré du mot désignant les roses."
ROSENBERG,Rosenberg,"Patronyme d'origine allemande, littéralement « montagne des roses »."
ROSENBLUM,Rosenblum,"Patronyme d'origine allemande, littéralement « fleur de rose », courant dans l'onomastique juive ashkénaze."
ROSENFELD,Rosenfeld,"Patronyme d'origine allemande, littéralement « champ de roses »."
ROSENTHAL,Rosenthal,"Patronyme d'origine allemande, littéralement « val des roses »."
ROTH,Roth,"Patronyme d'origine allemande, à l'origine surnom d'une personne rousse."
ROTHKOPF,Rothkopf,"Patronyme d'origine allemande, littéralement « tête rouge », surnom d'un homme aux cheveux roux."
ROTHSCHILD,Rothschild,"Patronyme d'origine allemande, littéralement « écusson rouge » ; nom d'une dynastie de banquiers."
ROTHSTEIN,Rothstein,"Patronyme d'origine allemande, littéralement « pierre rouge »."
ROUAIX,Rouaix,Patronyme d'origine occitane.
ROUMANILLE,Roumanille,"Patronyme d'origine occitane ; nom de Joseph Roumanille, poète provençal cofondateur du Félibrige."
ROUMIEU,Roumieu,"Patronyme français d'origine occitane, à l'origine désignation d'un pèlerin."
ROUMIEUX,Roumieux,"Patronyme français d'origine occitane, variante de Roumieu, évoquant le pèlerin."
ROUVIERE,Rouvière,"Patronyme français d'origine occitane, désignant un lieu planté de chênes rouvres."
RYBOJAD,Rybojad,Patronyme d'origine polonaise.
RZEPSKI,Rzepski,Patronyme d'origine polonaise.
SABRI,Sabri,"Prénom masculin d'origine arabe, formé sur la racine évoquant la patience."
SABRINA,Sabrina,"Prénom féminin emprunté à l'anglais, en vogue des années 1970 aux années 1990."
SACHA,Sacha,"Prénom masculin, forme russe familière d'Alexandre, correspondant à l'allemand Sascha."
SACHIKO,Sachiko,Prénom féminin d'origine japonaise.
SAGNES,Sagnes,"Patronyme d'origine occitane, du mot désignant un terrain marécageux."
SAID,Saïd,"Prénom masculin d'origine arabe, signifiant « heureux, fortuné »."
SAITO,Saito,Patronyme d'origine japonaise.
SAKURA,Sakura,"Prénom féminin d'origine japonaise, du mot désignant le cerisier en fleur."
SALACROU,Salacrou,"Patronyme français, porté par le dramaturge Armand Salacrou."
SANCHE,Sanche,"Prénom masculin, équivalent de l'espagnol Sancho, porté par des rois médiévaux de Navarre et de Castille."
SANTONI,Santoni,Patronyme d'origine corse.
SARKOZY,Sarkozy,"Patronyme d'origine hongroise ; nom de Nicolas Sarkozy, président de la République française de 2007 à 2012."
SARRAUT,Sarraut,Patronyme d'origine occitane.
SARRAUTE,Sarraute,Patronyme d'origine occitane ; nom de l'écrivaine Nathalie Sarraute.
SATO,Sato,"Patronyme d'origine japonaise, l'un des plus répandus du pays."
SATOMI,Satomi,Prénom féminin d'origine japonaise.
SAUBER,Sauber,"Patronyme d'origine allemande, du mot signifiant « propre, net »."
SAUVANNE,Sauvanne,"Prénom féminin, équivalent de la forme anglaise Sauvane."
SAYAKO,Sayako,Prénom féminin d'origine japonaise.
SAYRAGUL,Sayragul,Prénom féminin d'origine kazakhe.
SAYURI,Sayuri,"Prénom féminin d'origine japonaise, dont l'élément yuri désigne le lys."
SCHEUCHZER,Scheuchzer,"Patronyme d'origine allemande, de type suisse alémanique."
SCHILD,Schild,"Patronyme d'origine allemande, du mot signifiant « bouclier » ou « enseigne »."
SCHMIDT,Schmidt,"Patronyme d'origine allemande, équivalent de « forgeron », très courant dans l'espace germanique."
SCHNEIDER,Schneider,"Patronyme d'origine allemande, signifiant « tailleur »."
SCHUBERT,Schubert,Patronyme d'origine allemande ; nom du compositeur Franz Schubert.
SCHUITEN,Schuiten,Patronyme d'origine néerlandaise ; nom du dessinateur belge François Schuiten.
SCHUMANN,Schumann,"Patronyme d'origine allemande, à l'origine surnom d'un cordonnier ; nom du compositeur Robert Schumann."
SCHWARTZ,Schwartz,"Patronyme d'origine allemande, du mot signifiant « noir », surnom d'une personne brune."
SCHWARZ,Schwarz,"Patronyme d'origine allemande, signifiant « noir »."
SCHWARZKOPF,Schwarzkopf,"Patronyme d'origine allemande, littéralement « tête noire », surnom d'une personne aux cheveux bruns."
SCHWEITZER,Schweitzer,"Patronyme d'origine allemande, désignant un originaire de Suisse ; nom du médecin et musicien Albert Schweitzer."
SEBASTIEN,Sébastien,"Prénom masculin issu du latin et du grec, équivalent de l'anglais Sebastian ; nom d'un martyr romain souvent représenté percé de flèches."
SEBASTIENNE,Sébastienne,"Prénom féminin, forme féminine de Sébastien, d'origine latine et grecque."
SEGOLENE,Ségolène,"Prénom féminin d'origine germanique, équivalent de l'allemand Sieglinde ; porté par la femme politique Ségolène Royal."
SEHILI,Sehili,Patronyme d'origine arabe.
SEIGNOLLE,Seignolle,"Patronyme français d'origine occitane ; nom de l'écrivain Claude Seignolle, spécialiste des traditions populaires."
SENTAURENS,Sentaurens,"Patronyme d'origine occitane, issu d'un toponyme signifiant « Saint-Laurent »."
SETSUKO,Setsuko,Prénom féminin d'origine japonaise.
SEYDINA,Seydina,"Prénom masculin d'origine soninké, usité en Afrique de l'Ouest."
SGANZIN,Sganzin,Patronyme français.
SHEMSEDDINE,Shemseddine,"Prénom masculin d'origine arabe, signifiant « soleil de la religion »."
SHIGEKO,Shigeko,Prénom féminin d'origine japonaise.
SHIMIZU,Shimizu,"Patronyme d'origine japonaise, signifiant « eau pure »."
SHIROISHI,Shiroishi,"Patronyme d'origine japonaise, littéralement « pierre blanche »."
SIDONIE,Sidonie,"Prénom féminin, équivalent de l'anglais Sidonia, à l'origine « originaire de Sidon » ; premier prénom de l'écrivaine Colette."
SIGOLENE,Sigolène,"Prénom féminin d'origine germanique, variante de Ségolène, correspondant à l'allemand Sieglinde."
SIHEM,Sihem,"Prénom féminin d'origine arabe, signifiant « flèches »."
SIMIONESCU,Simionescu,"Patronyme d'origine roumaine, dérivé du prénom Simion, équivalent de Siméon."
SIOUDA,Siouda,Patronyme d'origine arabe.
SLAH,Slah,"Prénom masculin d'origine arabe, forme maghrébine de Salah, « probité, vertu »."
SLAMI,Slami,Patronyme d'origine arabe.
SMADJA,Smadja,"Patronyme d'origine arabe, répandu parmi les familles juives d'Afrique du Nord."
SMIRNOFF,Smirnoff,"Patronyme d'origine russe, ancienne transcription de Smirnov, formé sur un mot signifiant « paisible »."
SMITH,Smith,"Patronyme d'origine anglaise, équivalent de « forgeron », le plus fréquent du monde anglophone."
SOAZIG,Soazig,"Prénom féminin d'origine bretonne, correspondant à Françoise."
SOFIANE,Sofiane,Prénom masculin d'origine arabe.
SOFONEA,Sofonea,Patronyme français d'origine roumaine.
SOIZIC,Soizic,"Prénom féminin d'origine bretonne, variante de Soazig, correspondant à Françoise."
SOKOLOFF,Sokoloff,"Patronyme d'origine russe, ancienne transcription de Sokolov, formé sur le mot « faucon »."
SOKOLOV,Sokolov,"Patronyme d'origine russe, dérivé du mot « faucon »."
SOKOLSKY,Sokolsky,"Patronyme d'origine russe, formé sur le mot « faucon »."
SOLENE,Solène,Prénom féminin d'origine bretonne.
SONIA,Sonia,"Prénom féminin d'origine russe, hypocoristique de Sophie, équivalent de l'anglais Sonya."
SOSTRATE,Sostrate,"Prénom masculin d'origine grecque, équivalent de l'anglais Sostratus ; nom de l'architecte du phare d'Alexandrie."
SOUBEYRAN,Soubeyran,"Patronyme d'origine occitane, du mot signifiant « supérieur, d'en haut », souvent appliqué à un lieu-dit."
STANISLAS,Stanislas,"Prénom masculin d'origine slave, équivalent de l'anglais Stanislaus ; porté par plusieurs rois de Pologne."
STAQUET,Staquet,Patronyme français.
STEBENET,Stebenet,Patronyme d'origine occitane.
STEFANESCU,Stefanescu,"Patronyme d'origine roumaine, dérivé du prénom Ștefan, équivalent d'Étienne."
STEIN,Stein,"Patronyme d'origine allemande, du mot signifiant « pierre »."
STERN,Stern,"Patronyme d'origine allemande, du mot signifiant « étoile », fréquent dans l'onomastique juive."
STOPPIGLIA,Stoppiglia,Patronyme d'origine italienne.
STRAUSS,Strauss,"Patronyme d'origine allemande, du mot signifiant « bouquet » ou « autruche » ; porté par les compositeurs Johann et Richard Strauss."
SUHEBIETTE,Suhebiette,"Patronyme d'origine occitane, de forme gasconne."
SUHUBIETTE,Suhubiette,"Patronyme d'origine occitane, variante de Suhebiette."
SULIANE,Suliane,Prénom féminin d'origine bretonne.
SUMIKO,Sumiko,Prénom féminin d'origine japonaise.
SUPERBIELLE,Superbielle,"Patronyme d'origine occitane, d'un lieu-dit gascon signifiant « ville haute »."
SUPERSAC,Supersac,Patronyme d'origine occitane.
SUPERVIELLE,Supervielle,"Patronyme d'origine occitane, d'un toponyme gascon « ville haute » ; nom du poète Jules Supervielle."
SUPERVILLE,Superville,"Patronyme d'origine occitane, variante francisée de Supervielle, « ville haute »."
SYNESIOS,Synésios,"Prénom masculin grec ancien, équivalent de l'anglais Synesius ; nom d'un évêque et philosophe de Cyrène."
SZLAMOWICZ,Szlamowicz,"Patronyme d'origine polonaise, formé sur Szlama, forme de Salomon."
TACHRIFT,Tachrift,Patronyme d'origine arabe.
TAGLIAFERRO,Tagliaferro,"Patronyme d'origine italienne, littéralement « taille-fer », surnom d'un homme vaillant."
TAHAR,Tahar,"Prénom masculin d'origine arabe, signifiant « pur, vertueux »."
TAKAKO,Takako,Prénom féminin d'origine japonaise.
TALAGRAND,Talagrand,Patronyme d'origine occitane.
TAMIKO,Tamiko,Prénom féminin d'origine japonaise.
TANIA,Tania,"Prénom féminin d'origine russe, hypocoristique de Tatiana."
TARNOWSKI,Tarnowski,"Patronyme d'origine polonaise, formé sur un nom de lieu."
TAUTOU,Tautou,Patronyme d'origine occitane ; nom de l'actrice Audrey Tautou.
TCHENG,Tcheng,Patronyme français transcrit du chinois.
TCHERNEYAN,Tcherneyan,Patronyme français d'origine arménienne.
TCHERNIAK,Tcherniak,"Patronyme d'origine russe, dérivé du mot « noir »."
TCHOU,Tchou,Patronyme français transcrit du chinois.
TEBBOUNE,Tebboune,"Patronyme d'origine arabe ; nom d'Abdelmadjid Tebboune, président de l'Algérie."
TERENCE,Térence,"Prénom masculin d'origine latine, équivalent de l'anglais Terence ; nom d'un auteur comique de la Rome antique."
TEULIERES,Teulières,"Patronyme d'origine occitane, désignant un lieu où l'on fabriquait des tuiles."
THACH,Thach,"Patronyme d'origine vietnamienne, signifiant « pierre »."
THEAGENE,Théagène,"Prénom masculin d'origine grecque, équivalent de l'anglais Theagenes."
THECLE,Thècle,"Prénom féminin d'origine grecque, équivalent de l'anglais Thecla ; nom d'une sainte des premiers temps chrétiens."
THEGONNEC,Thégonnec,"Prénom masculin breton d'usage ancien, conservé dans le nom de la commune de Saint-Thégonnec."
THEODORIC,Théodoric,"Prénom masculin d'origine germanique, d'usage ancien, équivalent de l'anglais Theodoric ; porté par Théodoric le Grand, roi des Ostrogoths."
THEOPHANE,Théophane,"Prénom masculin d'origine grecque, signifiant « manifestation divine »."
THIMOTHEE,Thimothée,"Prénom masculin d'origine grecque, graphie variante de Timothée, équivalent de l'anglais Timothy."
TIMOTHEE,Timothée,"Prénom masculin d'origine grecque, équivalent de l'anglais Timothy ; nom d'un disciple de saint Paul."
TINKOFF,Tinkoff,Patronyme d'origine russe.
TIPHAINE,Tiphaine,"Prénom féminin d'origine grecque, issu de « Théophanie », équivalent de l'anglais Tiffany."
TITIEN,Titien,"Prénom masculin d'origine latine, équivalent de l'anglais Titian ; nom sous lequel on désigne en français le peintre vénitien Tiziano Vecellio."
TITIENNE,Titienne,"Prénom féminin d'origine latine, forme féminine de Titien."
TOURANCHEAU,Tourancheau,Patronyme français.
TOURLONIAS,Tourlonias,Patronyme d'origine occitane.
TRAHAN,Trahan,"Patronyme français, très présent chez les populations acadiennes et cadiennes."
TRAN,Tran,"Patronyme d'origine vietnamienne, nom d'une dynastie impériale et l'un des plus fréquents du pays."
TRIEU,Trieu,Patronyme d'origine vietnamienne.
TRINH,Trinh,Patronyme d'origine vietnamienne.
TRULES,Trulès,Patronyme français.
TRUONG,Truong,Patronyme d'origine vietnamienne.
TRUSSARDI,Trussardi,Patronyme d'origine italienne ; nom d'une maison de mode fondée en Lombardie.
TRUTAT,Trutat,Patronyme français.
TSUGUKO,Tsuguko,Prénom féminin d'origine japonaise.
UMINSKI,Uminski,Patronyme français d'origine polonaise.
URRUTY,Urruty,"Patronyme français d'origine basque, du mot signifiant « éloigné »."
URSULE,Ursule,"Prénom féminin d'origine latine, « petite ourse », équivalent de l'anglais Ursula ; nom de sainte Ursule, martyre légendaire de Cologne."
URVOAS,Urvoas,Patronyme d'origine bretonne.
VALERIE,Valérie,"Prénom féminin d'origine latine, tiré du gentilice Valerius, équivalent de l'anglais Valerie."
VALERIUS,Valérius,"Patronyme d'origine latine, repris du gentilice romain Valerius, « vigoureux »."
VALERY,Valéry,Prénom masculin issu du latin Valerius ; porté comme patronyme par le poète Paul Valéry.
VANAUX,Vanaux,Patronyme français.
VANCOPPENOLLE,Vancoppenolle,"Patronyme d'origine néerlandaise, de type flamand, formé avec la particule van."
VANDEPUTTE,Vandeputte,"Patronyme d'origine néerlandaise, littéralement « du puits »."
VANDIEVOET,Vandievoet,Patronyme d'origine néerlandaise.
VANEAU,Vaneau,Patronyme français.
VANESSA,Vanessa,"Prénom féminin d'origine anglaise, forgé au XVIIIe siècle par l'écrivain Jonathan Swift, d'usage récent."
VANHOENACKER,Vanhoenacker,"Patronyme d'origine néerlandaise, de type flamand."
VANNAU,Vannau,Patronyme français.
VANNOT,Vannot,Patronyme français.
VANOT,Vanot,Patronyme français.
VAUCHIER,Vauchier,Patronyme français.
VAUGIER,Vaugier,Patronyme français.
VAUGUIER,Vauguier,Patronyme français.
VAUQUIER,Vauquier,Patronyme français.
VAXELAIRE,Vaxelaire,"Patronyme d'origine alémanique, caractéristique des Vosges."
VENTURA,Ventura,"Patronyme français d'origine italienne, du mot signifiant « chance » ; nom de l'acteur Lino Ventura."
VERHAEGEN,Verhaegen,"Patronyme d'origine néerlandaise, littéralement « de la haie »."
VERNEAU,Verneau,"Patronyme français, dérivé d'un mot régional désignant l'aulne."
VICTOR,Victor,"Prénom masculin d'origine latine, « vainqueur », équivalent de l'anglais Victor ; porté par plusieurs papes et saints."
VIDIAN,Vidian,"Prénom masculin, variante de Vivien, équivalent de l'anglais Vivian."
VIDOCQ,Vidocq,"Patronyme d'origine occitane ; nom d'Eugène-François Vidocq, aventurier et premier chef de la Sûreté."
VIELESCOT,Vielescot,Patronyme d'origine occitane.
VINCE,Vince,"Prénom masculin emprunté à l'anglais, hypocoristique de Vincent."
VIOULAC,Vioulac,"Patronyme d'origine occitane, formé sur un toponyme en -ac."
VO,Vo,"Patronyme d'origine vietnamienne, lié à la notion de valeur militaire."
VOLPATTI,Volpatti,"Patronyme d'origine italienne, diminutif de volpe, « renard »."
VUONG,Vuong,"Patronyme d'origine vietnamienne, signifiant « roi », équivalent du français Roy."
WAINARD,Wainard,"Prénom masculin d'origine germanique, d'usage ancien."
WALDTEUFEL,Waldteufel,"Patronyme d'origine allemande, littéralement « diable des forêts » ; nom du compositeur de valses Émile Waldteufel."
WALOI,Waloi,"Prénom masculin d'origine bretonne, d'usage ancien."
WEINSTEIN,Weinstein,"Patronyme d'origine allemande, littéralement « tartre », fréquent dans l'onomastique juive ashkénaze."
WEINTRAUB,Weintraub,"Patronyme d'origine allemande, du mot signifiant « grappe de raisin », fréquent dans l'onomastique juive ashkénaze."
WEISHAUPT,Weishaupt,"Patronyme d'origine allemande, « tête blanche » ; nom d'Adam Weishaupt, fondateur des Illuminés de Bavière."
WERTH,Werth,"Patronyme français d'origine alémanique ; nom de Léon Werth, ami et dédicataire de Saint-Exupéry."
WILFRID,Wilfrid,"Prénom masculin d'origine germanique, équivalent de l'anglais Wilfred, formé sur les éléments « volonté » et « paix »."
WINOC,Winoc,Prénom masculin breton d'usage ancien ; nom d'un saint fêté dans le Nord de la France.
WINWALOE,Winwaloe,"Prénom masculin breton d'usage ancien, forme ancienne de Guénolé."
WOLINSKI,Wolinski,Patronyme d'origine polonaise ; nom du dessinateur Georges Wolinski.
XAVIER,Xavier,"Prénom masculin d'origine basque, d'un lieu-dit signifiant « maison neuve » ; répandu grâce à saint François Xavier."
XENAKIS,Xenakis,Patronyme français d'origine grecque ; nom du compositeur Iannis Xenakis.
YAEKO,Yaeko,Prénom féminin d'origine japonaise.
YAELLE,Yaëlle,"Prénom féminin d'origine hébraïque, dérivé de Yaël, « bouquetin »."
YAHYAOUI,Yahyaoui,"Patronyme d'origine arabe, dérivé du prénom Yahya, équivalent de Jean."
YAMADA,Yamada,"Patronyme d'origine japonaise, littéralement « rizière de montagne »."
YAMAGUCHI,Yamaguchi,"Patronyme d'origine japonaise, littéralement « entrée de la montagne »."
YAMAMOTO,Yamamoto,"Patronyme d'origine japonaise, littéralement « pied de la montagne »."
YAMASAKI,Yamasaki,"Patronyme d'origine japonaise, littéralement « pointe de la montagne »."
YANN,Yann,"Prénom masculin d'origine bretonne, forme bretonne de Jean."
YANNE,Yanne,Patronyme français ; nom de scène de l'acteur et cinéaste Jean Yanne.
YANNICK,Yannick,"Prénom masculin d'origine bretonne, diminutif de Yann, équivalent de Jean."
YASMINA,Yasmina,"Prénom féminin d'origine arabe et persane, du mot désignant le jasmin."
YASMINE,Yasmine,"Prénom féminin d'origine arabe et persane, « jasmin »."
YASUKO,Yasuko,Prénom féminin d'origine japonaise.
YAZDAN,Yazdan,"Prénom masculin d'origine persane, mot signifiant « Dieu » dans la tradition zoroastrienne."
YOKO,Yoko,Prénom féminin d'origine japonaise.
YORGANTZ,Yorgantz,Patronyme d'origine arménienne.
YOSHIKAWA,Yoshikawa,"Patronyme d'origine japonaise, littéralement « bonne rivière »."
YOSHIKO,Yoshiko,Prénom féminin d'origine japonaise.
YOSHINAGA,Yoshinaga,Patronyme d'origine japonaise.
YOUNES,Younès,"Prénom masculin d'origine arabe, correspondant au prophète Jonas."
YOUNOUS,Younous,"Prénom masculin d'origine arabe, variante de Younès, correspondant au prophète Jonas."
YOUSSOUF,Youssouf,"Prénom masculin d'origine arabe, équivalent de Yusuf, correspondant au prophète Joseph."
YUKIKO,Yukiko,Prénom féminin d'origine japonaise.
YUMIKO,Yumiko,Prénom féminin d'origine japonaise.
YURIKO,Yuriko,"Prénom féminin d'origine japonaise, dont l'élément yuri désigne le lys."
ZENOBE,Zénobe,"Prénom masculin grec ancien, équivalent de l'anglais Zenobius ; prénom de l'inventeur Zénobe Gramme."
ZIRAOUI,Ziraoui,Patronyme d'origine arabe.
ZUREIK,Zureik,Patronyme d'origine arabe.
ABBY,Abby,Prénom féminin.
ABELONE,Abelone,Prénom féminin.
ABOUBACAR,Aboubacar,Prénom masculin.
AICARD,Aicard,Patronyme.
ALAPHILIPPE,Alaphilippe,"Patronyme porté par le coureur cycliste français Julian Alaphilippe, champion du monde sur route en 2020."
ALFRED,Alfred,Prénom masculin.
ALICIA,Alicia,Prénom féminin.
ALINE,Aline,Prénom féminin.
AMANDA,Amanda,Prénom féminin.
AMAR,Amar,Patronyme.
AMELINE,Ameline,Prénom féminin.
ANAELLE,Anaëlle,Prénom féminin.
ANAIS,Anaïs,Prénom féminin.
ANDREA,Andrea,Prénom féminin.
ANDREANA,Andréana,Prénom féminin.
ANDREANE,Andréane,Prénom féminin.
ANDREANNE,Andréanne,Prénom féminin.
ANDROUET,Androuet,"Patronyme porté par la maison Androuet, célèbre fromagerie affineur parisienne fondée en 1909."
ANGELIER,Angelier,Patronyme.
ANGELLE,Angelle,Patronyme.
ANNAEL,Annaël,Prénom féminin.
ANNAELLE,Annaëlle,Prénom féminin.
ANNIE,Annie,Prénom féminin.
ANOUCHKA,Anouchka,Prénom féminin.
ANOUILH,Anouilh,"Patronyme porté par le dramaturge français Jean Anouilh, auteur d'Antigone."
ANQUETIL,Anquetil,"Patronyme porté par le coureur cycliste français Jacques Anquetil, premier quintuple vainqueur du Tour de France."
APOLLINE,Apolline,Prénom féminin.
ARGAND,Argand,"Patronyme porté par Jean-Robert Argand, mathématicien genevois auteur du plan d'Argand, représentation géométrique des nombres complexes."
ARLETTE,Arlette,Prénom féminin.
ARMAND,Armand,Prénom masculin.
ARMANDINE,Armandine,Prénom féminin.
ARMEL,Armel,Prénom masculin.
ARNAULT,Arnault,"Patronyme porté par Bernard Arnault, homme d'affaires français, dirigeant du groupe de luxe LVMH."
ARNOUX,Arnoux,Patronyme.
ARSENE,Arsène,Prénom masculin.
ASSELIN,Asselin,Patronyme.
ASTRID,Astrid,Prénom féminin.
AUCOIN,Aucoin,Patronyme.
AUDREANE,Audréane,Prénom féminin.
AUDREANNE,Audréanne,Prénom féminin.
AUDRIC,Audric,Prénom masculin.
AUGEREAU,Augereau,"Patronyme porté par Charles Pierre François Augereau, maréchal d'Empire sous Napoléon Ier, duc de Castiglione."
AURELIA,Aurélia,Prénom féminin.
AURIANE,Auriane,Prénom féminin.
AUTHEMENT,Authement,Patronyme.
AYME,Aymé,"Patronyme porté par Marcel Aymé, écrivain français, auteur du Passe-Muraille."
AZEMA,Azéma,"Patronyme porté par Sabine Azéma, actrice française."
BABINEAUX,Babineaux,Patronyme.
BACHAND,Bachand,Patronyme.
BACHELAY,Bachelay,Patronyme.
BADEAU,Badeau,Patronyme.
BADEAUX,Badeaux,Patronyme.
BAILLEAU,Bailleau,Patronyme.
BAILLEAUX,Bailleaux,Patronyme.
BAKAMBU,Bakambu,"Patronyme porté par Cédric Bakambu, footballeur international congolais."
BALASOOBRAMANEN,Balasoobramanen,Patronyme.
BARAKENGERA,Barakengera,Patronyme.
BARDET,Bardet,"Patronyme porté par Romain Bardet, coureur cycliste professionnel français."
BARNIER,Barnier,"Patronyme porté par Michel Barnier, homme politique français, ancien Premier ministre."
BARRAULT,Barrault,"Patronyme porté par Jean-Louis Barrault, acteur et metteur en scène français."
BARRELIER,Barrelier,Patronyme.
BARRILLEAUX,Barrilleaux,Patronyme.
BASSOMPIERRE,Bassompierre,"Patronyme porté par François de Bassompierre, maréchal de France et diplomate sous Louis XIII."
BAUDIER,Baudier,Patronyme.
BAUDRILLARD,Baudrillard,"Patronyme porté par Jean Baudrillard, philosophe et sociologue français."
BAWUMIA,Bawumia,"Patronyme porté par Mahamudu Bawumia, homme politique ghanéen."
BAYROU,Bayrou,"Patronyme porté par François Bayrou, homme politique français, ancien Premier ministre."
BAZILLE,Bazille,"Patronyme porté par Frédéric Bazille, peintre impressionniste français."
BEATRIX,Béatrix,Prénom féminin.
BEAUCHESNE,Beauchesne,Patronyme.
BEAUDREAU,Beaudreau,Patronyme.
BEAUSOLEIL,Beausoleil,Patronyme.
BECHAMP,Béchamp,"Patronyme porté par Antoine Béchamp, chimiste et pharmacien français, contemporain et rival de Louis Pasteur."
BEGIN,Bégin,Patronyme.
BEGON,Bégon,"Patronyme porté par Michel Bégon, administrateur colonial français dont le nom a été donné au bégonia."
BELANGER,Bélanger,Patronyme.
BELLEAU,Belleau,Patronyme.
BELLECOURT,Bellecourt,Patronyme.
BERENGERE,Bérengère,Prénom féminin.
BERGERAT,Bergerat,Patronyme.
BERGERET,Bergeret,Patronyme.
BERGSON,Bergson,"Patronyme porté par Henri Bergson, philosophe français, lauréat du prix Nobel de littérature."
BERLINCOURT,Berlincourt,Patronyme.
BERNADETTE,Bernadette,Prénom féminin.
BERNAUD,Bernaud,Patronyme.
BERNOT,Bernot,Patronyme.
BERTHOUD,Berthoud,Patronyme.
BERTILLON,Bertillon,"Patronyme porté par Alphonse Bertillon, criminologue français, inventeur de l'anthropométrie judiciaire."
BERTIN,Bertin,Patronyme.
